,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,posemo,interrog,number,quant,affect,negemo,compare,social,anx,anger,sad,risk,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,money,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1653,23,5.4,9.62,80.16,93.61,23.0,17.39,78.26,47.83,21.74,8.7,8.7,0.0,0.0,0.0,0.0,13.04,0.0,4.35,4.35,8.7,8.7,4.35,8.7,0.0,0.0725,0.0,4.35,4.35,4.35,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74,4.35,0.0,0.0,0.0,13.04,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,4.35,0.0,4.35,0.0957095709570957,4.35,4.35,0.0,8.7,0.0,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654,8,1.92,1.0,7.84,99.0,8.0,12.5,87.5,50.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,25.0,0.0,0.0,12.5,25.0,25.0,0.4166666666666670,0.0,0.0,0.0,37.5,0.43752187609380500,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.55005500550055,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1657,8,11.86,1.0,74.76,25.77,8.0,25.0,75.0,62.5,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,12.5,0.0,12.5,25.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0
1659,10,99.0,84.14,1.0,99.0,10.0,0.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.16666666666666700,0.0,0.0,0.0,10.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660,84,71.27,76.25,6.5,99.0,14.0,16.67,79.76,41.67,5.95,5.95,0.0,0.0,4.76,0.0,1.19,0.0,2.38,13.1,7.14,3.57,9.52,2.38,9.52,7.14,0.119,0.0,0.0,3.57,8.33,0.041652082604130200,0.10711071107110700,0.14280000000000000,0.0,0.0,1.19,0.05355535553555360,0.0,0.0,0.0,0.0,5.95,0.0,0.0,2.38,2.38,1.19,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,2.38,8.33,5.95,9.52,0.31441144114411400,0.0,7.14,3.57,11.9,1.19,9.52,1.19,2.38,2.38,0.0,0.0,0.0,1.19,0.0,1.19,0.0,0.0,0.0,16.67,7.14,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,2.38
1662,6,93.26,1.0,98.01,25.77,3.0,50.0,66.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,16.67,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.5001500150015000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,16.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1663,14,48.63,1.67,99.0,25.77,14.0,14.29,71.43,50.0,7.14,7.14,7.14,0.0,0.0,0.0,0.0,0.0,7.14,7.14,7.14,7.14,7.14,7.14,14.29,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.14280000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,7.14,0.0,0.0,0.0,7.14,7.14,0.0,21.43,7.14,0.0,21.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664,5,52.71,97.69,1.0,99.0,5.0,20.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.3333333333333330,0.0,0.0,0.0,20.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665,13,82.82,98.93,17.46,99.0,13.0,23.08,76.92,38.46,15.38,15.38,0.0,0.0,7.69,0.0,7.69,0.0,0.0,15.38,0.0,0.0,7.69,0.0,7.69,7.69,0.12816666666666700,0.0,7.69,0.0,7.69,0.0,0.23072307230723100,0.30760000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1691969196919690,0.0,0.0,0.0,15.38,0.0,0.0,15.38,0.0,7.69,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0,0.0,7.69,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1667,5,1.0,1.0,99.0,25.77,5.0,20.0,60.0,40.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
